Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
18.0,Tanner Mordecai*,SMU,American,12.0,288.0,443.0,65.0,3524.0,33.0,7.4,10.0,2.3,8.0,8.43,12.2,293.7,151.9,
19.0,Aidan O'Connell*,Purdue,Big Ten,12.0,320.0,499.0,64.1,3490.0,22.0,4.4,13.0,2.6,7.0,6.7,10.9,290.8,132.2,
20.0,Carter Bradley*,South Alabama,Sun Belt,13.0,275.0,425.0,64.7,3335.0,28.0,6.6,12.0,2.8,7.8,7.89,12.1,256.5,146.7,
21.0,Bryce Young*,Alabama,SEC,12.0,245.0,380.0,64.5,3328.0,32.0,8.4,5.0,1.3,8.8,9.85,13.6,277.3,163.2,H-6
22.0,Kurtis Rourke*,Ohio,MAC,11.0,244.0,353.0,69.1,3257.0,25.0,7.1,4.0,1.1,9.2,10.13,13.3,296.1,167.7,
23.0,Chevan Cordeiro*,San Jose State,MWC,12.0,259.0,427.0,60.7,3251.0,23.0,5.4,6.0,1.4,7.6,8.06,12.6,270.9,139.6,
24.0,Cameron Ward*,Washington State,Pac-12,13.0,320.0,497.0,64.4,3232.0,23.0,4.6,9.0,1.8,6.5,6.61,10.1,248.6,130.7,
25.0,Jordan Travis*,Florida State,ACC,13.0,226.0,353.0,64.0,3214.0,24.0,6.8,5.0,1.4,9.1,9.83,14.2,247.2,160.1,
26.0,Jaren Hall*,BYU,Ind,12.0,248.0,376.0,66.0,3171.0,31.0,8.2,6.0,1.6,8.4,9.36,12.8,264.3,160.8,
27.0,Dorian Thompson-Robinson*,UCLA,Pac-12,13.0,266.0,382.0,69.6,3169.0,27.0,7.1,10.0,2.6,8.3,8.53,11.9,243.8,157.4,
28.0,Dillon Gabriel*,Oklahoma,Big 12,12.0,230.0,367.0,62.7,3168.0,25.0,6.8,6.0,1.6,8.6,9.26,13.8,264.0,154.4,
29.0,Chase Cunningham*,Middle Tennessee State,CUSA,12.0,309.0,463.0,66.7,3156.0,21.0,4.5,10.0,2.2,6.8,6.75,10.2,263.0,134.6,
30.0,Hendon Hooker*,Tennessee,SEC,11.0,229.0,329.0,69.6,3135.0,27.0,8.2,2.0,0.6,9.5,10.9,13.7,285.0,175.5,H-5
31.0,Jack Plummer,California,Pac-12,12.0,282.0,451.0,62.5,3119.0,21.0,4.7,9.0,2.0,6.9,6.95,11.1,259.9,132.0,
32.0,Hunter Dekkers,Iowa State,Big 12,12.0,302.0,457.0,66.1,3044.0,19.0,4.2,14.0,3.1,6.7,6.11,10.1,253.7,129.6,
33.0,Cameron Rising*,Utah,Pac-12,13.0,249.0,385.0,64.7,3034.0,26.0,6.8,8.0,2.1,7.9,8.3,12.2,233.4,149.0,
34.0,Cole Snyder*,Buffalo,MAC,13.0,271.0,461.0,58.8,3030.0,18.0,3.9,8.0,1.7,6.6,6.57,11.2,233.1,123.4,
35.0,E.J. Warner,Temple,American,11.0,268.0,443.0,60.5,3028.0,18.0,4.1,12.0,2.7,6.8,6.43,11.3,275.3,125.9,
36.0,Spencer Rattler*,South Carolina,SEC,13.0,264.0,399.0,66.2,3026.0,18.0,4.5,12.0,3.0,7.6,7.13,11.5,232.8,138.7,
37.0,Michael Pratt*,Tulane,American,13.0,215.0,338.0,63.6,3009.0,27.0,8.0,5.0,1.5,8.9,9.83,14.0,231.5,161.8,
38.0,Taulia Tagovailoa*,Maryland,Big Ten,12.0,262.0,391.0,67.0,3008.0,18.0,4.6,8.0,2.0,7.7,7.69,11.5,250.7,142.7,
39.0,Jaxson Dart*,Ole Miss,SEC,13.0,226.0,362.0,62.4,2974.0,20.0,5.5,11.0,3.0,8.2,7.95,13.2,228.8,143.6,
40.0,Riley Leonard*,Duke,ACC,13.0,250.0,392.0,63.8,2967.0,20.0,5.1,6.0,1.5,7.6,7.9,11.9,228.2,141.1,
