player_name,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Casey Cramer,RB,1982-01-05,New Mexico State,Sun Belt,2004,7,,,-0.001,-0.001,0.077,0.059,0.087,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Gaines,TE,1980-03-30,UCF,MAC,2004,7,,,0.057,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,35.304,178.63824
Derrick Ward,RB,1980-08-30,Fresno State,WAC,2004,7,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Jensen,TE,1970-07-20,Iowa,Big Ten,2004,7,,,0.07,0.07,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean McHugh,RB,1982-05-27,Penn State,Big Ten,2004,7,,,0.086,0.086,0.0,0.0,0.195,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,31.302,154.00584
Bruce Perry,RB,1981-03-22,Maryland,ACC,2004,7,2001.0,20.446,0.079,0.075,0.0,0.0,0.338,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Abney,WR,1980-12-19,Kentucky,SEC,2004,7,2001.0,20.701,0.266,0.266,0.0,0.0,0.049,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,26.431,121.05398000000001
Courtney Anderson,TE,1980-11-19,San Jose State,WAC,2004,7,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,31.083,151.99587
Brandon Miree,RB,1981-04-14,Pitt,Big East,2004,7,2000.0,19.384,0.003,0.002,0.0,0.0,0.317,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.J. Symons,QB,1980-11-19,Texas Tech,Big 12,2004,7,2003.0,22.782,0.0,0.0,0.963,0.914,0.176,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,28.478,139.5422
Bradlee Van Pelt,QB,1980-07-03,Colorado State,MWC,2004,7,2001.0,21.164,0.0,0.0,0.873,0.663,0.383,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,29.655,147.6819
Alex Smith,QB,1982-05-22,Georgia Southern,Sun Belt,2005,1,,,0.003,0.003,0.879,0.668,0.217,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,26.411,124.39581000000001
Ronnie Brown,RB,1981-12-12,Auburn,SEC,2005,1,2002.0,20.72,0.039,0.039,0.0,0.0,0.282,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,31.597,139.97471
Braylon Edwards,WR,1983-02-21,Michigan,Big Ten,2005,1,2002.0,19.526,0.538,0.538,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,26.37,117.3465
Cedric Benson,RB,1982-12-28,Texas,Big 12,2005,1,2001.0,18.678,0.032,0.03,0.0,0.0,0.554,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,31.85,147.14700000000002
