player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Tyler Conklin,TE,105.0,1995-07-30,Central Michigan,MAC,2018,5,2016.0,21.092,0.188,0.132,0.0,0.0,0.0,0.0,,,,12.1,,3.0,,,,,,54.1,,,47.4,4.5,9.5,,,9.55,,4.0,,,,,,0.5,,,4.0,,,,,38.5,88.1,350.5,,,,,,25.7,107.5,71.0,,,,29.2,95.0,162.5,4.25,,13.85,,,1.585,,4.8,31.744,152.3712
Jordan Thomas,TE,128.0,1996-08-02,Mississippi State,SEC,2018,6,,,0.149,0.149,0.0,0.0,0.0,0.0,,,,13.4,,4.0,,,,,,52.4,,,46.2,6.0,13.0,,,15.4,,4.0,,,,,,1.0,,,2.0,,,,,22.0,90.4,142.0,,,,,,23.6,37.0,42.0,,,,62.4,98.0,94.0,4.3,,12.0,,,1.85,,4.74,31.421,148.93554
Ryan Izzo,TE,150.0,1995-12-21,Florida State,ACC,2018,7,,,0.134,0.127,0.0,0.0,0.0,0.0,,,,9.7,,2.0,,,,,,57.1,,,16.7,1.0,6.0,,,9.1,,2.0,,,,0.0,,0.0,,,2.0,,,,,20.0,80.0,300.0,,,,,,16.3,61.0,35.0,,,,3.2,12.0,135.0,6.8,,15.9,,,1.06,,4.94,30.354,149.94876000000002
T.J. Hockenson,TE,4.0,1997-07-03,Iowa,Big Ten,2019,1,2018.0,21.164,0.24,0.24,0.0,0.0,0.027,0.027,,,,10.5,,8.0,,,,,,76.6,,,54.5,6.0,11.0,,,2.0,,1.0,,,,16.0,,1.0,,,1.0,,,,,49.0,82.6,337.0,,,,,,28.7,117.0,64.0,,,,3.4,14.0,357.0,7.3,,15.2,,,2.21,,4.7,29.761,139.8767
Noah Fant,TE,6.0,1997-11-20,Iowa,Big Ten,2019,1,2017.0,19.781,0.261,0.261,0.0,0.0,-0.0,-0.0,,,,11.0,,1.5,,,,,,59.75,,,38.1,2.0,5.0,,,14.1,,5.5,,,,9.4,,0.0,,,1.0,,,,,34.5,89.25,257.0,,,,,,35.7,101.5,57.5,,,,2.3,6.5,222.5,6.4,,14.9,,,1.98,,4.5,30.306,136.377
Irv Smith Jr.,TE,34.0,1998-08-09,Alabama,SEC,2019,2,,,0.14,0.14,0.0,0.0,0.0,0.0,,,,10.3,,9.0,,,,,,77.2,,,75.0,6.0,8.0,,,8.3,,4.0,,,,,,2.0,,,0.0,,,,,44.0,90.5,276.0,,,,,,32.1,98.0,57.0,,,,6.2,19.0,360.0,8.2,,16.1,,,2.56,,,,
Drew Sample,TE,122.0,1996-04-16,Washington,Pac-12,2019,2,,,0.117,0.111,0.0,0.0,0.0,0.0,,,,8.1,,1.0,,,,,,71.4,,,66.7,4.0,6.0,,,0.0,,0.0,,,,,,0.0,,,1.0,,,,,25.0,73.6,309.0,,,,,,24.5,103.0,35.0,,,,4.5,19.0,78.0,3.1,,10.1,,,0.82,,4.71,30.235,142.40685
Josh Oliver,TE,79.0,1997-03-21,San Jose State,MWC,2019,3,2018.0,21.448,0.208,0.158,0.0,0.0,0.0,0.0,,,,10.3,,8.0,,,,,,56.6,,,61.5,16.0,26.0,,,6.7,,4.0,,,,43.3,,0.0,,,3.0,,,,,56.0,84.1,439.0,,,,,,51.3,268.0,99.0,,,,2.5,13.0,262.0,4.7,,12.7,,,1.62,,4.63,29.524,136.69612
Jace Sternberger,TE,38.0,1996-06-26,Texas A&M,SEC,2019,3,2018.0,22.182,0.327,0.327,0.0,0.0,0.001,0.001,,,,11.3,,8.0,,,,,,60.5,,,36.4,4.0,11.0,,,5.8,,3.0,,,,,,0.0,,,4.0,,,,,49.0,86.5,415.0,,,,,,24.6,118.0,81.0,,,,2.9,14.0,405.0,8.3,,17.1,,,2.01,,4.75,30.549,145.10775
Kahale Warring,TE,66.0,1997-03-23,San Diego State,MWC,2019,3,,,0.184,0.14,0.0,0.0,0.0,0.0,,,,11.4,,2.0,,,,,,58.5,,,20.0,1.0,5.0,,,11.4,,4.0,,,,,,0.0,,,2.0,,,,,31.0,88.2,246.0,,,,,,44.1,123.0,53.0,,,,5.7,16.0,94.0,3.0,,12.0,,,1.51,,4.67,29.88,139.5396
Dawson Knox,TE,39.0,1996-11-14,Ole Miss,SEC,2019,3,,,0.041,0.041,0.0,0.0,0.0,0.0,,,,8.9,,2.0,,,,,,70.6,,,57.1,4.0,7.0,,,11.1,,3.0,,,,,,1.0,,,1.0,,,,,24.0,58.4,173.0,,,,,,43.9,130.0,34.0,,,,0.0,0.0,152.0,6.3,,13.4,,,1.86,,4.76,30.914,147.15064
Trevon Wesco,TE,108.0,1995-09-12,West Virginia,Big 12,2019,4,,,0.057,0.054,0.0,0.0,0.001,0.001,,,,4.5,,12.0,,,,,,86.7,,,75.0,3.0,4.0,,,10.3,,3.0,,,,,,0.0,,,0.0,,,,,26.0,62.7,192.0,,,,,,11.8,36.0,30.0,,,,0.7,2.0,235.0,9.0,,14.1,,,1.91,,4.89,33.369,163.17441
Foster Moreau,TE,93.0,1997-05-06,LSU,SEC,2019,4,,,0.141,0.141,0.0,0.0,0.0,0.0,,,,5.0,,3.0,,,,,,66.7,,,16.7,1.0,6.0,,,17.2,,5.0,,,,,,0.0,,,0.0,,,,,24.0,63.8,215.0,,,,,,24.6,83.0,36.0,,,,5.9,20.0,201.0,8.4,,11.6,,,1.29,,4.66,30.793,143.49538
Zach Gentry,TE,77.0,1996-09-10,Michigan,Big Ten,2019,5,,,0.179,0.179,0.0,0.0,0.0,0.0,,,,13.3,,1.0,,,,,,60.7,,,30.0,3.0,10.0,,,15.0,,3.0,,,,,,0.0,,,2.0,,,,,17.0,77.1,185.0,,,,,,28.8,69.0,28.0,,,,4.6,11.0,121.0,7.1,,17.8,,,1.64,,4.9,29.109,142.63410000000002
Kaden Smith,TE,90.0,1997-04-24,Stanford,Pac-12,2019,6,,,0.188,0.179,0.0,0.0,0.0,0.0,,,,15.5,,2.0,,,,,,57.5,,,46.7,7.0,15.0,,,11.5,,3.0,,,,,,0.0,,,1.0,,,,,23.0,88.1,156.0,,,,,,71.2,126.0,40.0,,,,1.1,2.0,100.0,4.3,,18.0,,,2.65,,4.92,30.235,148.7562
