player_name,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
Joe Jones,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,3.88,2.72,0.0,0.0,,,,,,,,,,,,,,
Joe Kemp,2008.0,0.0,0.0,16.48,11.54,0.0,0.0,2009.0,0.0,0.0,36.26,25.38,0.0,0.0,2010.0,0.0,0.0,1.95,1.36,0.0,0.0,2011.0,0.0,0.0,0.63,0.44,0.0,0.0
Joe Licata,2012.0,0.0,0.0,42.44,29.71,0.0,0.0,2013.0,0.0,0.0,95.78,67.05,0.0,0.0,2014.0,0.0,0.0,91.75,64.22,0.0,0.0,2015.0,0.0,0.0,99.58,69.71,0.0,0.0
Joe Lowery,2018.0,-0.06,-0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Martinek,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Milton,2018.0,0.0,0.0,1.03,1.03,2.51,2.51,2019.0,0.0,0.0,2.9,2.9,2.33,2.33,2020.0,0.0,0.0,58.07,58.07,11.1,11.1,2021.0,0.0,0.0,8.64,8.64,5.61,5.61
Joe Mischler,2019.0,0.0,0.0,0.4,0.28,0.14,0.1,,,,,,,,,,,,,,,,,,,,,
Joe Mixon,2016.0,12.32,11.7,1.48,1.41,37.36,35.49,,,,,,,,,,,,,,,,,,,,,
Joe Mohler,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Moore,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Radigan,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Reed,2016.0,1.34,1.27,0.0,0.0,0.11,0.1,2017.0,7.77,7.38,0.0,0.0,9.61,9.13,2018.0,21.91,20.81,0.0,0.0,0.33,0.31,2019.0,24.29,23.08,0.0,0.0,1.24,1.18
Joe Royer,2021.0,0.09,0.09,0.0,0.0,0.0,0.0,2022.0,0.13,0.13,0.0,0.0,0.0,0.0,2023.0,0.07,0.07,0.0,0.0,0.0,0.0,2024.0,17.51,16.63,0.0,0.0,0.0,0.0
Joe Schieffer,2003.0,0.0,0.0,8.99,6.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Schopper,2017.0,0.0,0.0,0.67,0.67,0.33,0.33,2018.0,0.0,0.0,0.0,0.0,0.11,0.11,,,,,,,,,,,,,,
Joe Sloan,2007.0,0.0,0.0,0.09,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Southwick,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,3.57,2.71,0.0,0.0,2012.0,0.0,0.0,94.55,71.86,0.0,0.0,2013.0,0.0,0.0,44.34,33.7,0.0,0.0
Joe Taylor,2024.0,0.27,0.27,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Tereshinski,2005.0,0.0,0.0,8.15,8.15,0.0,0.0,2006.0,0.0,0.0,21.32,21.32,0.0,0.0,,,,,,,,,,,,,,
Joe Thompson,2017.0,0.0,0.0,0.0,0.0,-0.3,-0.21,,,,,,,,,,,,,,,,,,,,,
Joe Walker,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Joe Weatherford,2008.0,0.0,0.0,5.73,4.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Webb,2006.0,0.0,0.0,13.79,9.65,0.0,0.0,2007.0,0.0,0.0,29.81,20.87,0.0,0.0,2008.0,0.0,0.0,100.0,70.0,0.0,0.0,2009.0,0.0,0.0,96.6,67.62,0.0,0.0
Joe Wilkins,2020.0,4.53,4.3,0.0,0.0,0.0,0.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0,10.53,7.37,0.0,0.0,0.0,0.0,,,,,,,
