player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Bradlee Van Pelt*,Colorado State,2003,MWC,0.0,0.0,0.0,0.0,2845.0,19.0,0.0,0.0,0.0,0.0,87.28,66.33,
Bradley Chavez,UAB,2003,CUSA,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,3.57,2.5,
Brady Quinn,Notre Dame,2003,INDEPENDENT,0.0,0.0,0.0,0.0,1831.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brandon Avalos,Alabama,2003,SEC,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,
Brandon Baker,South Florida,2003,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brandon Hance*,USC,2003,PAC 12,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.58,0.55,
Brandon Hassell*,Texas Christian,2003,CUSA,0.0,0.0,0.0,0.0,2039.0,10.0,0.0,0.0,0.0,0.0,77.05,53.93,
Brandon Kirsch*,Purdue,2003,BIG TEN,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,3.59,3.59,
Brandon Marshall,UCF,2003,MAC,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1.05,0.74,
Brandon Roberson*,Memphis,2003,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brandon Sumner,UCF,2003,MAC,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.26,0.18,
Brett Basanez*,Northwestern,2003,BIG TEN,0.0,0.0,0.0,0.0,1916.0,4.0,0.0,0.0,0.0,0.0,95.17,95.17,
Brett Elliott*,Utah,2003,MWC,0.0,0.0,0.0,0.0,304.0,2.0,0.0,0.0,0.0,0.0,11.8,8.97,
Brett Johnson*,Washington State,2003,PAC 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brian Camp*,Georgia Tech,2003,ACC,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,
Brian Fisher,South Florida,2003,CUSA,0.0,0.0,0.0,0.0,107.0,1.0,0.0,0.0,0.0,0.0,6.9,4.83,
Brian Hicks,Arkansas State,2003,SUN BELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brian Lindgren,Idaho,2003,SUN BELT,0.0,0.0,0.0,0.0,2077.0,15.0,0.0,0.0,0.0,0.0,71.47,54.32,
Brian Luke*,Kansas,2003,BIG 12,0.0,0.0,0.0,0.0,285.0,3.0,0.0,0.0,0.0,0.0,10.28,9.77,
Brian Yarno,Idaho,2003,SUN BELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
